dept_id,dept_name,budget_amount,approved_date
1,Fowler Department,966956,2024-06-15
2,Johnson Department,604902,2024-06-15
3,Gardner Department,1653556,2024-06-15
4,Lewis Department,1527150,2024-06-15
5,Baker Department,1436213,2024-06-15
6,Mcclure Department,1085264,2024-06-15
7,Wyatt Department,929895,2024-06-15
8,Adams Department,2787433,2024-06-15
9,Nelson Department,864647,2024-06-15
10,Trujillo Department,2976705,2024-06-15
11,Foster Department,2269668,2024-06-15
12,Ryan Department,633306,2024-06-15
13,Hicks Department,624978,2024-06-15
14,Ferrell Department,892986,2024-06-15
15,Potter Department,1417034,2024-06-15
16,Mckay Department,1475850,2024-06-15
17,Skinner Department,2619613,2024-06-15
18,Ashley Department,611299,2024-06-15
19,Koch Department,2854032,2024-06-15
20,Cabrera Department,1333985,2024-06-15
21,Obrien Department,2785650,2024-06-15
22,Martinez Department,2259593,2024-06-15
23,Jones Department,1424594,2024-06-15
24,Palmer Department,2384119,2024-06-15
25,Aguirre Department,2971559,2024-06-15
26,Brown Department,1666816,2024-06-15
27,Wright Department,527257,2024-06-15
28,Leblanc Department,1169659,2024-06-15
29,Allison Department,2272573,2024-06-15
30,Galloway Department,1927114,2024-06-15
31,Robinson Department,1665476,2024-06-15
32,Calhoun Department,1152128,2024-06-15
33,Larson Department,1403091,2024-06-15
34,Harvey Department,1911779,2024-06-15
35,Edwards Department,928700,2024-06-15
36,Smith Department,889004,2024-06-15
37,Mahoney Department,2093530,2024-06-15
38,Valdez Department,905657,2024-06-15
39,Tran Department,2005668,2024-06-15
40,Freeman Department,1942654,2024-06-15
